offset,file_count,small_count,unique_count,min,max,median,values
4,88,88,3,0,9,7.0,0 7 9
8,88,88,2,0,2,0.0,0 2
12,88,88,2,0,23,23.0,0 23
16,88,88,2,0,28,0.0,0 28
20,88,6,2,0,259,0.0,0 259
24,88,7,3,0,312,0,0 309 312
28,88,19,3,0,32,0,0 18 32
40,88,65,2,0,1,0,0 1
44,88,88,6,0,5,3.0,0 1 2 3 4 5
48,88,84,6,0,25,23.0,0 1 21 22 23 25
52,86,81,4,4,48,24,4 16 24 48
56,86,32,8,0,57,0.0,0 1 3 50 52 55 56 57
58,86,83,11,0,57,0,0 48 49 50 51 52 53 54 55 56 57
60,86,83,3,0,41,0,0 23 41
64,86,85,3,0,24,0,0 1 24
70,86,86,9,0,57,0.0,0 49 50 52 53 54 55 56 57
72,86,85,3,0,23,0,0 22 23
76,86,81,4,0,48,0,0 24 44 48
80,86,78,5,0,66,25.0,0 25 37 41 66
84,86,76,5,0,48,4.0,0 4 24 44 48
88,86,81,4,0,32,0,0 1 22 32
92,86,67,7,0,194,41,0 23 24 37 41 67 194
96,86,70,8,0,204,24.0,0 16 24 32 44 55 62 204
100,86,79,4,0,65,0,0 1 50 65
104,86,77,5,0,512,0,0 21 25 30 512
108,86,79,4,0,768,0,0 4 16 768
110,86,72,2,0,51,0.0,0 51
112,86,64,13,0,500,65.0,0 10 16 20 25 30 40 65 66 67 68 69 500
114,86,83,2,0,86,0,0 86
116,86,78,6,0,512,0.0,0 4 37 40 364 512
118,86,83,2,0,69,0,0 69
120,86,75,5,0,204,0,0 1 44 50 204
122,86,82,2,0,50,0.0,0 50
124,86,68,6,0,193,0.0,0 1 24 27 37 193
128,86,51,7,0,184,27,0 12 27 32 44 66 184
132,86,66,9,0,200,0.0,0 1 10 12 20 40 41 50 200
134,86,64,2,0,7,0.0,0 7
136,86,57,10,0,196,0,0 1 24 30 50 66 68 194 195 196
140,86,63,13,0,834,0,0 61 63 64 65 66 182 184 192 193 256 512 834
142,86,53,3,0,54,0,0 23 54
144,86,61,14,0,762,0,0 1 10 20 24 25 26 30 40 41 50 62 67 762
146,86,81,2,0,86,0,0 86
148,86,63,13,0,512,0,0 4 10 20 24 27 32 63 100 178 180 300 512
152,86,60,9,0,835,0.0,0 1 12 63 65 512 768 832 835
156,85,59,4,0,512,0,0 50 200 512
160,85,44,2,0,193,0.0,0 193
162,85,65,3,0,56,0,0 50 56
164,85,35,15,0,768,10,0 10 20 25 40 50 65 67 73 100 178 184 256 707 768
168,85,42,8,0,512,0.0,0 4 60 64 66 194 195 512
172,85,54,12,0,512,0.0,0 55 61 62 66 67 68 192 193 194 195 512
174,85,57,4,0,51,0,0 3 5 51
176,85,66,14,0,834,0.0,0 24 26 48 61 65 66 67 68 182 184 193 512 834
178,85,67,2,0,23,0,0 23
180,85,55,5,0,512,0,0 32 64 65 512
182,85,57,3,0,69,0,0 24 69
184,85,45,10,0,835,0,0 25 63 66 67 204 256 768 834 835
188,85,45,9,0,768,0,0 4 52 66 67 193 256 512 768
192,85,46,8,0,835,0.0,0 64 65 66 194 512 579 835
194,85,77,3,0,69,0,0 48 69
196,85,57,8,0,768,0,0 55 121 194 204 256 512 768
198,85,71,4,0,53,0,0 7 50 53
200,85,49,6,0,512,0,0 62 66 184 256 512
202,85,64,3,0,863,0.0,0 69 863
204,85,43,9,0,835,0,0 64 66 193 204 461 706 768 835
206,85,61,4,0,69,0,0 23 52 69
208,85,56,11,0,835,0.0,0 55 66 192 194 195 204 256 512 578 835
210,85,63,6,0,497,0,0 7 25 41 49 497
212,85,48,12,0,835,0.0,0 54 62 65 66 67 183 190 193 194 195 835
214,85,65,3,0,16,0,0 4 16
216,85,45,7,0,256,0,0 56 65 188 192 193 256
218,85,60,5,0,51,0.0,0 1 7 23 51
220,85,43,5,0,768,0,0 67 193 194 768
222,85,54,4,0,41,0.0,0 1 9 41
224,85,55,13,0,835,0,0 64 65 66 182 183 191 192 193 194 768 832 835
226,85,67,4,0,24,0,0 2 23 24
228,85,62,9,0,835,0.0,0 60 66 67 193 194 195 256 835
230,85,74,2,0,69,0.0,0 69
232,85,46,6,0,512,0.0,0 55 61 66 189 512
234,85,67,2,0,25,0,0 25
236,85,31,8,0,835,0,0 63 65 66 67 512 832 835
238,85,74,6,0,69,0.0,0 1 4 51 53 69
240,85,41,5,0,512,0,0 67 204 256 512
242,85,69,3,0,65,0,0 23 65
244,85,53,7,0,834,0,0 64 67 194 195 833 834
246,85,73,4,0,497,0,0 24 69 497
248,85,59,7,0,768,0,0 62 65 67 192 204 768
250,85,71,5,0,54,0,0 3 4 48 54
252,85,57,8,0,768,0,0 49 51 64 66 193 256 768
254,85,78,4,0,37,0.0,0 7 23 37
