file,offset,token,prev_small_u32
MAZE01.ato,20,2VFD,8 7 0 23 0
MAZE01.ato,104,WIND06A.WAV,0 0 25 4 0 24 32 0
MAZE01.ato,132,LOCATE,0 0 0 0 0
MAZE01.ato,170,w0D,0 0 0 0
MAZE01.ato,222,6QC,0
MAZE01.ato,269,CAMERA,0 0 0 0 0 0 0
MAZE01.ato,311,F6D,0 0 0 0
MAZE01.ato,450,BIRD03,27 12 0 0 0 24 32 0
MAZE01.ato,478,SM001003,0 0 1 0 0 0
MAZE01.ato,687,SE014002,1 0 0 0 0 0 0 0
MAZE01.ato,729,42DL-oC,0 0 0 0
MAZE01.ato,800,LOCATE,0 0 0 0 0 25 4 0
MAZE01.ato,839,FDDp,50 0 0 0 0
MAZE01.ato,875,FDDp,0
MAZE01.ato,965,SM001003,0 0 0 27 12 0 0 0
MAZE01.ato,1006,zVKD,0 0 1 4 1 0 0 0
MAZE01.ato,1013,C0S,256 1024 256 0 0 0
MAZE01.ato,1042,zVKD,0 0 3 22 48
MAZE01.ato,1049,C0S,65 0 834 5632
MAZE01.ato,1150,IT_57,0 0 0 0 0 0 0 0
MAZE01.ato,1291,CAMERA,0 0 0 0 0 0 0
MAZE01.ato,1364,play,0 0 0 0 0 0 0 5
MAZE01.ato,1488,SM001002,0 25 4 0 0 28 16 2
MAZE01.ato,1516,CAM002,2 0 28 16 1
MAZE01.ato,1544,SE014002,1 0 28 16 3
MAZE01.ato,1588,ANIMAL08.WAV,1 25 4 1 233 24 32 0
MAZE01.ato,1632,SLASH041,0 0 0 0 474 24 32 0
MAZE01.ato,1676,NOISE05,0 0 0 0 481 24 32 0
MAZE01.ato,1736,WIND06A.WAV,507 25 4 0 507 24 32 0
MAZE01.ato,1780,JUMP01,0 0 0 0 799 24 32 0
MAZE01.ato,1824,SLASH035,0 0 0 0 804 24 32 0
MAZE01.ato,1868,FALL01,0 0 0 0 822 24 32 0
MAZE01.ato,1912,ANIMAL06,0 0 0 0 847 24 32 0
MAZE01.ato,1956,PUNCH06,0 0 0 0 854 24 32 0
MAZE01.ato,2000,PUNCH07,0 0 0 0 863 24 32 0
MAZE01.ato,2044,PUNCH06,0 0 0 0 870 24 32 0
MAZE01.ato,2088,PUNCH07,0 0 0 0 879 24 32 0
MAZE01.ato,2132,PUNCH06,0 0 0 0 887 24 32 0
MAZE01.ato,2176,PUNCH07,0 0 0 0 897 24 32 0
MAZE01.ato,2220,PUNCH06,0 0 0 0 904 24 32 0
MAZE01.ato,2340,SM001014,0 0 0 5 0 28 16 5
MAZE01.ato,2368,IT_14,5 0 28 16 6
MAZE01.ato,2396,CAM014,6 0 28 16 7
MAZE01.ato,2440,camera,0 25 4 1 79 25 4 0
MAZE01.ato,2456,CAM002,79 25 4 0 2
MAZE01.ato,2483,C5s,717 0
MAZE01.ato,2685,93Dq,0 0 0 0
MAZE01.ato,2746,iDG,0 0 0 0
MAZE01.ato,2754,lC8,0 0
MAZE01.ato,2806,iDG,0 0 0 0
MAZE01.ato,2814,lC8,0 0
MAZE01.ato,2866,iDG,0 0 0 0
MAZE01.ato,2874,lC8,0 0
MAZE01.ato,2926,RDWn,0 0 0 0
MAZE01.ato,2934,DCp,0 0
MAZE01.ato,2986,RDWn,0 0 0 0
MAZE01.ato,2994,DCp,0 0
MAZE01.ato,3046,RDWn,0 0 0 0
MAZE01.ato,3054,DCp,0 0
MAZE01.ato,3114,DCp,0 0
MAZE01.ato,3169,ZlC,0 0 0
MAZE01.ato,3226,ZCf,0 0 0 0
MAZE01.ato,3647,CgUa,0 0 0 0 5632
MAZE01.ato,3707,CgUa,0 0 0 0 5632
MAZE01.ato,3949,w9C,0 0 0
MAZE01.ato,4134,hB0,0 0
MAZE01.ato,4435,Blp,0 0 5632
MAZE01.ato,4495,Blp,0 0 5632
MAZE01.ato,4555,Blp,0 0 5632
MAZE01.ato,4605,6QC,0 0 0 0
MAZE01.ato,4712,CAM014,0 0 0 0 0 0 0
MAZE01.ato,5028,SM001003,0 0 0 0 0 0 0
MAZE01.ato,5044,SM001002,0 0 0 0 2
MAZE01.ato,5832,SM001014,0 0 0 0 0 0 0
MAZE01.ato,5858,FDDp,0 0
MAZE01.ato,6084,SE014002,0 0 0 0 0 0 0 0
MAZE01.ato,6100,SE014002,0 0 0 0 1
MAZE01.ato,8340,IT_57,0 920 21 16 0 0 0 0
MAZE01.ato,8356,IT_14,0 0 0 0 1
MAZE01.ato,8380,zVKD,1 400 52 0
MAZE01.ato,8387,C0S,0
