offset,file_count,small_count,unique_count,min,max,median,values
4,230,230,5,0,7,0.0,0 1 2 6 7
8,230,128,16,0,79,3.0,0 1 2 3 4 6 7 8 12 16 17 20 29 34 61 79
16,230,7,3,0,120,0,0 49 120
18,230,18,4,0,97,0.0,0 49 57 97
22,230,99,2,0,182,0,0 182
24,230,199,4,0,626,0,0 24 66 626
26,230,17,4,0,194,0,0 65 192 194
30,230,89,2,0,511,0,0 511
32,230,109,2,0,511,0,0 511
34,230,140,3,0,511,0.0,0 1 511
36,230,228,2,0,1,0.0,0 1
42,230,228,2,0,256,0.0,0 256
44,230,230,2,0,256,0.0,0 256
46,230,228,3,0,256,0.0,0 1 256
48,230,227,2,0,1,0,0 1
50,230,208,2,0,8,0.0,0 8
52,230,226,2,0,8,0.0,0 8
54,230,225,2,0,192,0,0 192
56,230,184,3,0,420,0.0,0 192 420
58,230,32,4,0,193,191.0,0 191 192 193
60,230,125,4,0,192,1,0 1 190 192
62,230,139,4,0,449,0,0 191 192 449
64,230,221,7,0,8,0,0 1 3 4 5 6 8
70,230,8,3,56,100,100.0,56 57 100
72,230,87,4,0,100,100,0 49 55 100
78,230,104,4,0,768,0.0,0 3 18 768
80,230,100,8,0,768,3.0,0 1 3 5 10 13 512 768
82,230,85,4,0,768,0,0 205 256 768
84,230,13,4,0,512,0,0 63 205 512
86,230,40,5,0,205,205.0,0 49 116 192 205
88,230,134,7,0,420,114.0,0 49 63 108 114 192 420
90,230,108,6,0,193,0.0,0 1 64 191 192 193
92,230,104,4,0,64,0.0,0 62 63 64
94,230,119,7,0,321,0,0 1 49 63 64 192 321
96,230,219,3,0,190,0,0 63 190
98,230,205,2,0,191,0,0 191
100,230,155,3,0,191,0,0 63 191
102,230,57,5,0,511,191,0 1 62 191 511
104,230,162,6,0,511,0.0,0 1 62 63 190 511
106,230,128,6,0,511,0.0,0 1 20 62 318 511
108,230,177,3,0,13,0,0 1 13
110,230,93,4,0,511,0,0 1 10 511
112,230,103,2,0,1,0,0 1
114,230,106,4,0,511,0.0,0 205 256 511
116,230,105,4,0,256,0,0 1 205 256
118,230,127,5,0,256,0,0 1 64 205 256
120,230,141,6,0,420,1,0 1 8 17 64 420
122,230,130,11,0,256,0.0,0 1 4 6 15 20 25 30 63 64 256
124,230,69,7,0,768,0,0 1 8 14 62 64 768
126,230,59,6,0,256,0,0 8 46 63 64 256
128,230,155,6,0,941,0,0 24 31 65 193 941
132,230,17,4,0,321,128,0 1 128 321
134,230,20,2,0,662,0.0,0 662
136,230,5,4,0,188,62,0 5 62 188
138,230,14,2,0,193,0.0,0 193
140,230,28,3,0,665,61.0,0 61 665
142,230,31,2,0,184,0,0 184
144,230,28,8,0,189,51.0,0 50 51 52 56 179 180 189
146,230,9,3,0,205,0,0 50 205
148,230,11,3,0,316,0,0 205 316
150,230,40,3,0,205,205.0,0 64 205
152,230,103,5,0,831,420,0 4 64 420 831
154,230,58,8,0,786,63.0,0 2 63 64 192 321 545 786
156,230,25,4,0,786,0,0 190 192 786
158,230,45,5,0,192,191,0 60 63 191 192
160,230,137,5,0,617,0,0 62 109 574 617
162,230,129,4,0,193,0,0 62 63 193
164,230,126,6,0,575,0.0,0 57 63 64 323 575
166,230,53,4,0,367,63,0 63 190 367
168,230,100,2,0,190,0.0,0 190
170,230,39,3,0,190,190,0 63 190
172,230,94,2,0,6,0.0,0 6
174,230,37,7,0,230,230,0 62 63 128 184 193 230
176,230,30,4,0,511,63.0,0 63 189 511
178,230,11,3,0,205,0,0 63 205
180,230,9,3,0,312,0,0 205 312
182,230,40,4,0,511,205.0,0 192 205 511
184,230,84,3,0,420,420.0,0 192 420
186,230,40,4,0,659,191.0,0 191 192 659
188,230,29,4,0,786,0,0 192 256 786
190,230,40,3,0,192,95.5,0 191 192
192,230,33,4,0,786,0,0 109 574 786
194,230,10,3,0,256,0.0,0 62 256
196,230,17,2,0,64,0,0 64
200,230,10,3,0,192,0.0,0 62 192
204,230,24,4,0,192,59.0,0 59 60 192
206,230,31,4,0,321,0,0 1 184 321
210,230,6,3,0,205,3.5,0 7 205
212,230,18,3,0,205,0.0,0 117 205
214,230,34,3,0,205,205.0,0 64 205
216,230,83,3,0,420,420,0 64 420
218,230,53,7,0,659,63,0 63 64 65 192 545 659
220,230,26,6,0,789,0.0,0 48 50 192 755 789
222,230,37,4,0,192,191,0 64 191 192
224,230,40,7,0,445,0.0,0 62 63 64 65 193 445
226,230,53,3,0,64,0,0 62 64
228,230,103,4,0,205,0,0 62 63 205
230,230,49,5,0,367,62,0 62 190 191 367
232,230,130,6,0,192,0.0,0 53 62 188 191 192
234,230,37,3,0,446,191,0 191 446
236,230,104,5,0,702,0.0,0 6 64 431 702
238,230,31,5,0,230,230,0 128 184 190 230
240,230,38,6,0,899,191.0,0 15 189 191 192 899
242,230,8,2,0,205,0.0,0 205
244,230,8,3,0,205,0.0,0 191 205
246,230,34,3,0,205,205.0,0 64 205
248,230,97,5,0,831,420,0 62 64 420 831
250,230,40,5,0,191,63.0,0 63 64 65 191
252,230,30,4,0,831,0.0,0 64 519 831
254,230,38,4,0,64,63.0,0 2 63 64
