offset,file_count,small_count,unique_count,min,max,median,values
20,882,4,2,50,55,50.0,50 55
44,882,838,2,0,780,0.0,0 780
48,882,786,2,0,260,0.0,0 260
56,882,882,9,0,13,5.0,0 2 3 4 5 6 10 12 13
64,882,15,4,1,114,1,1 49 97 114
66,882,22,3,0,104,76.5,0 49 104
68,882,13,5,49,57,53,49 51 53 55 57
88,882,23,2,780,784,780,780 784
92,882,613,2,0,940,0,0 940
100,882,10,3,0,114,0.0,0 57 114
102,882,658,4,0,115,115.0,0 49 104 115
104,882,13,5,49,56,54,49 53 54 55 56
108,882,10,2,0,5,5.0,0 5
136,882,30,5,0,121,51.5,0 51 52 114 121
138,882,650,3,0,115,115.0,0 104 115
140,882,7,3,50,57,53,50 53 57
144,882,9,2,0,97,0,0 97
148,882,8,3,0,57,53.0,0 49 57
154,882,10,2,0,115,115.0,0 115
160,882,385,2,0,5,0,0 5
174,882,662,2,0,115,115.0,0 115
176,882,14,4,0,55,24.5,0 49 52 55
180,882,15,4,0,49,1,0 1 3 49
182,882,25,2,0,104,0,0 104
188,882,5,2,0,98,0,0 98
190,882,10,2,0,115,115.0,0 115
192,882,635,3,0,50,0,0 48 50
204,882,18,2,0,1,1.0,0 1
206,882,19,2,0,115,0,0 115
210,882,663,2,0,115,115,0 115
212,882,15,3,0,50,0,0 49 50
216,882,30,3,0,114,1.0,0 1 114
220,882,8,2,2,49,2.0,2 49
224,882,10,2,0,50,0.0,0 50
226,882,27,3,0,115,49,0 49 115
228,882,632,3,0,52,0.0,0 48 52
232,882,396,2,0,98,0.0,0 98
236,882,632,2,0,48,0.0,0 48
242,882,828,2,0,115,0.0,0 115
248,882,13,3,0,53,0,0 50 53
252,882,31,3,0,3,1,0 1 3
254,882,25,2,0,49,0,0 49
