relative_path,name,extension,size,first16_hex,ascii_ratio,entropy,u16_small_count_first512,u16_small_mode_first512,u16_first32
auto\.ato,.ato,,0,,0.0,0.0,0,,
auto\LOCCATE.ato,LOCCATE.ato,.ato,0,,0.0,0.0,0,,
auto\MAZE01.ato,MAZE01.ato,.ato,8580,08 00 00 00 07 00 00 00 00 00 00 00 17 00 00 00,0.1395,2.9572,186,0,8 0 7 0 0 0 23 0 0 0 22066 17478 2255 17330 44256 16644 0 0 0 0 0 0 3 0 23 0 24 0 50 0 0 0
auto\MAZE02.ato,MAZE02.ato,.ato,0,,0.0,0.0,0,,
auto\MAZE03.ato,MAZE03.ato,.ato,22874,26 00 00 00 07 00 00 00 00 00 00 00 17 00 00 00,0.1181,2.3771,190,0,38 0 7 0 0 0 23 0 0 0 29020 17439 47640 17439 2688 16466 58979 17331 0 0 0 0 3 0 23 0 24 0 13108 0 0 0
auto\MAZE04.ato,MAZE04.ato,.ato,0,,0.0,0.0,0,,
auto\MAZE05.ato,MAZE05.ato,.ato,17920,0c 00 00 00 07 00 00 00 00 00 00 00 17 00 00 00,0.1347,2.8564,189,0,12 0 7 0 0 0 23 0 0 0 43336 50191 54877 50082 43136 16271 0 0 0 0 13105 16727 4 0 23 0 24 0 14134 0 0 0
auto\MAZE07.ato,MAZE07.ato,.ato,52,00 00 00 00 00 00 80 3f 00 00 80 3f 00 00 80 3f,0.0577,0.765,23,0,0 0 0 16256 0 16256 0 16256 28 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
auto\MAZE08.ato,MAZE08.ato,.ato,52,00 00 00 00 00 00 80 3f 00 00 80 3f 00 00 80 3f,0.0577,0.765,23,0,0 0 0 16256 0 16256 0 16256 28 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
auto\MAZE09.ato,MAZE09.ato,.ato,66495,2f 00 00 00 09 00 00 00 02 00 00 00 00 00 00 00,0.1294,2.9727,191,0,47 0 9 0 2 0 0 0 0 0 19626 17261 63768 49575 12480 16281 0 0 0 0 44600 17018 4 0 21 0 16 0 0 0 0 0
auto\MAZE10.ato,MAZE10.ato,.ato,0,,0.0,0.0,0,,
auto\MAZE11.ato,MAZE11.ato,.ato,9767,0f 00 00 00 07 00 00 00 00 00 00 00 17 00 00 00,0.111,2.3006,182,0,15 0 7 0 0 0 23 0 0 0 21595 17643 12507 17161 40048 16941 15401 17331 0 0 0 0 1 0 23 0 24 0 12340 49 0 0
auto\MAZE12.ato,MAZE12.ato,.ato,95743,4b 00 00 00 07 00 00 00 00 00 00 00 17 00 00 00,0.1199,2.7756,186,0,75 0 7 0 0 0 23 0 0 0 22556 17467 49720 17360 9472 16573 0 0 0 0 55050 15907 3 0 23 0 24 0 13875 51 0 0
auto\MAZE13.ato,MAZE13.ato,.ato,32274,12 00 00 00 07 00 00 00 00 00 00 00 17 00 00 00,0.1294,2.837,186,0,18 0 7 0 0 0 23 0 0 0 59186 50394 43997 17427 48192 49709 0 0 0 0 0 0 2 0 23 0 24 0 13618 51 0 0
