relative_path,offset,text
Data\audio\AG01w3.wav,179398,GoldWave
Data\audio\AG03w1.wav,179398,GoldWave
Data\audio\Ag04w1.wav,324028,GoldWave.
Data\audio\Ag04w1.wav,324039,GoldWave
Data\audio\Burn03.wav,59679,expy
Data\audio\chi.wav,14800,GoldWave.
Data\audio\chi.wav,14811,GoldWave
Data\audio\chi2.wav,14812,GoldWave.
Data\audio\chi2.wav,14823,GoldWave
Data\audio\chi3.wav,14812,GoldWave.
Data\audio\chi3.wav,14823,GoldWave
Data\audio\explo01.wav,10216,veXPMKNZepx
Data\audio\Flesh.wav,1604,RURaNdU
Data\audio\fx31.wav,1707,wmkkmeXPG
Data\audio\J-bat07.wav,20263,oeXPLRZ
Data\audio\J-Bee03.wav,169425,ueXPNOUZairz
Data\audio\J-bhit02.wav,23752,xeXPW
Data\audio\J-chain1.wav,3798,reXPOR
Data\audio\J-clot08.wav,2069,ziegeXPU
Data\audio\J-cow03.wav,33044,seXPIDBEJPUVVTOLIGFFHLPVZ_chmprqnicZPH
Data\audio\J-cow04.wav,321007,seXPMLNV
Data\audio\J-dsty08.wav,4612,meXP
Data\audio\J-egl02.wav,23125,raND
Data\audio\J-egl03.wav,32556,ueXPR
Data\audio\J-egl04.wav,33064,ueXPLLMOSYbktz
Data\audio\J-egl04.wav,41104,reXPPZl
Data\audio\J-egl05.wav,33064,ueXPLLMOSYbktz
Data\audio\J-egl05.wav,41104,reXPPZl
Data\audio\J-egl05.wav,74582,759EXp
Data\audio\J-egl05.wav,75199,ueXPNORVZ
Data\audio\J-egl05.wav,159502,weXPNPW_gouz
Data\audio\J-elc01.wav,10539,pmuexpjrmpm
Data\audio\J-elc01.wav,21861,expm
Data\audio\J-elc01.wav,23060,expr
Data\audio\J-fire04.wav,21340,eXPTfw
Data\audio\J-hit04.wav,11723,eXPPx
Data\audio\J-hors01.wav,32699,teXPNR
Data\audio\J-hors02.wav,33233,852019EXp
Data\audio\J-hors03.wav,45392,ueXPJJJEDFHMU
Data\audio\J-kill02.wav,16393,28EXpzzxuxz
Data\audio\J-kill02.wav,19845,meXPMZj
Data\audio\J-magi11.wav,82296,cfeXPKGJRbltvqgdcjrorspkloort
Data\audio\J-pad02.wav,1589802,drekhpirirjudrandmfjnktozr
Data\audio\J-pad07.wav,102652,rwmtmvlwkviubrXmMdG_JbUkexp
Data\audio\J-pad09.wav,103117,zexpv
Data\audio\J-pad11.wav,76663,srlwmxfiZeXpZmOeJmPpMgEiGpFk
Data\audio\J-pad17.wav,134086,szmukwjyevasarandnjyp
Data\audio\J-pad18.wav,256109,expi
Data\audio\J-pad18.wav,383280,expv
Data\audio\J-pad18.wav,430746,pexpwtprgldgikvs
Data\audio\J-pad18.wav,630474,jwhpcpexp
Data\audio\J-pad18.wav,731992,expxt
Data\audio\J-pad19.wav,449366,exps
Data\audio\J-scrm05.wav,57226,veXPPVct
Data\audio\J-shadow.wav,3807,xueXPE88
Data\audio\J-shadow.wav,23603,jeXPPRXeju
Data\audio\J-shadow.wav,24730,zeXP
Data\audio\J-shadow.wav,24886,hmeXPJEEPj
Data\audio\J-shadow.wav,34278,pZRMEEJUheXPMPRZ
Data\audio\J-shadow.wav,36092,jeXPMPRUURMHMPb
Data\audio\J-shadow.wav,37997,hzzeXPH
Data\audio\J-shadow.wav,38444,zrppmjeXPMHB0
Data\audio\J-shadow.wav,43139,peXPXjx
Data\audio\J-shadow.wav,48714,meXPMZh
Data\audio\J-spec02.wav,6574,qgeaaeeXPF
Data\audio\J-swrd03.wav,6787,reXPJ
Data\audio\J-swrd13.wav,5608,SKCCFNehhehmpuxrmmpruzukeXPPNNNPSSV
Data\audio\J-swrd13.wav,20548,meehheeXPS
Data\audio\J-swrd15.wav,3511,eXPMMMR
