kind,term,offset,va,ref_count,refs
string,LEVELUP,0x153ca4,0x553ca4,1,0x4e2f5e
string,levelup,0x15430c,0x55430c,1,0x4f29bc
string,Level,0x13707e,0x53707e,0,
string,Level,0x139193,0x539193,0,
string,Level,0x139223,0x539223,0,
string,Level,0x1397f6,0x5397f6,0,
string,Level,0x1399fb,0x5399fb,0,
string,HPFull,0x153c78,0x553c78,1,0x4e2e82
string,MPFull,0x153c80,0x553c80,1,0x4e2eb7
string,APFull,0x153c94,0x553c94,1,0x4e2f18
string,HP,0x5d70,0x405d70,0,
string,HP,0x5e23,0x405e23,0,
string,HP,0x5ef8,0x405ef8,0,
string,HP,0x6159,0x406159,0,
string,HP,0x6214,0x406214,0,
string,HP,0x6a1f,0x406a1f,0,
string,HP,0x6b98,0x406b98,0,
string,HP,0x6f8b,0x406f8b,0,
string,HP,0x78c1,0x4078c1,0,
string,HP,0x7ac3,0x407ac3,0,
string,HP,0x7c99,0x407c99,0,
string,HP,0x8919,0x408919,0,
string,HP,0x8a4d,0x408a4d,0,
string,HP,0x8adb,0x408adb,0,
string,HP,0x934b,0x40934b,0,
string,HP,0x93b1,0x4093b1,0,
string,HP,0x9447,0x409447,0,
string,HP,0x9464,0x409464,0,
string,HP,0x948b,0x40948b,0,
string,HP,0x94bc,0x4094bc,0,
string,HP,0x94e3,0x4094e3,0,
string,HP,0x957f,0x40957f,0,
string,HP,0x95f5,0x4095f5,0,
string,HP,0x9691,0x409691,0,
string,HP,0x9707,0x409707,0,
string,HP,0x973d,0x40973d,0,
string,HP,0x97b9,0x4097b9,0,
string,HP,0x9831,0x409831,0,
string,HP,0x99ae,0x4099ae,0,
string,HP,0x9a02,0x409a02,0,
string,HP,0x9a3b,0x409a3b,0,
string,HP,0x9a9d,0x409a9d,0,
string,HP,0x9af1,0x409af1,0,
string,HP,0x9b2a,0x409b2a,0,
string,HP,0x9bc3,0x409bc3,0,
string,HP,0x9c8b,0x409c8b,0,
string,HP,0xa6b8,0x40a6b8,0,
string,HP,0xa905,0x40a905,0,
string,HP,0xa97a,0x40a97a,0,
string,HP,0xa9a1,0x40a9a1,0,
string,HP,0xaa05,0x40aa05,0,
string,HP,0xaaea,0x40aaea,0,
string,HP,0xab29,0x40ab29,0,
string,HP,0xb111,0x40b111,0,
string,HP,0xb14a,0x40b14a,0,
string,HP,0xc01c,0x40c01c,0,
