file_offset,va,has_100_near,has_50_near,has_10_near,has_div_near,has_cmp_near,before_hex,after_hex
125110,0x41e8b6,0,0,0,1,0,cc cc cc cc cc cc cc cc cc cc 55 8b ec 83 ec 0c 8b 45 10 3b 45 08 7c 23 8b 4d 10 3b 4d 0c 7f 1b,ff 15 48 f3 52 00 25 03 00 00 80 79 05 48 83 c8 fc 40 85 c0 74 05 8b 45 10 eb 4b ff 15 48 f3 52 00 99 b9 14 00 00 00 f7 f9 83 c2 01 89 55 f4 c7 45 f8 00 00 00 00 eb 09 8b 55 f8 83 c2 01 89 55 f8 8b 45 f8 3b 45 f4 7d 17 ff 15 48 f3 52 00 8b 4d 0c 2b 4d 08 83 c1 01 99 f7 f9 89 55 fc eb d8
125137,0x41e8d1,0,0,0,1,0,3b 4d 0c 7f 1b ff 15 48 f3 52 00 25 03 00 00 80 79 05 48 83 c8 fc 40 85 c0 74 05 8b 45 10 eb 4b,ff 15 48 f3 52 00 99 b9 14 00 00 00 f7 f9 83 c2 01 89 55 f4 c7 45 f8 00 00 00 00 eb 09 8b 55 f8 83 c2 01 89 55 f8 8b 45 f8 3b 45 f4 7d 17 ff 15 48 f3 52 00 8b 4d 0c 2b 4d 08 83 c1 01 99 f7 f9 89 55 fc eb d8 8b 45 08 03 45 fc 8b e5 5d c3 55 8b ec 6a 30 6a 00 8b 45 08 50 e8 d2 d4 10 00 83
125183,0x41e8ff,0,0,0,1,0,83 c2 01 89 55 f4 c7 45 f8 00 00 00 00 eb 09 8b 55 f8 83 c2 01 89 55 f8 8b 45 f8 3b 45 f4 7d 17,ff 15 48 f3 52 00 8b 4d 0c 2b 4d 08 83 c1 01 99 f7 f9 89 55 fc eb d8 8b 45 08 03 45 fc 8b e5 5d c3 55 8b ec 6a 30 6a 00 8b 45 08 50 e8 d2 d4 10 00 83 c4 0c 8b 4d 08 c7 41 20 00 00 80 3f 8b 55 08 c7 42 10 00 00 80 3f 8b 45 08 c7 00 00 00 80 3f 5d c3 55 8b ec 6a 40 6a 00 8b 45 08 50 e8 a0
768586,0x4bba4a,0,0,0,1,0,08 8b 55 f8 66 89 4a 42 8b 45 f8 0f bf 48 42 8b 55 f8 8b 42 04 8b 50 2c 0f bf 42 02 3b c8 7c 76,ff 15 48 f3 52 00 b9 ff 3f 00 00 2b c8 69 c9 96 00 00 00 8b c1 99 b9 ff 7f 00 00 f7 f9 89 45 b8 db 45 b8 8b 55 f8 d8 42 10 d9 5d e8 ff 15 48 f3 52 00 b9 ff 3f 00 00 2b c8 69 c9 96 00 00 00 8b c1 99 b9 ff 7f 00 00 f7 f9 89 45 b4 db 45 b4 8b 55 f8 d8 42 14 d9 5d ec 8b 45 f8 8b 48 18 89 4d
768630,0x4bba76,0,0,0,1,0,c8 69 c9 96 00 00 00 8b c1 99 b9 ff 7f 00 00 f7 f9 89 45 b8 db 45 b8 8b 55 f8 d8 42 10 d9 5d e8,ff 15 48 f3 52 00 b9 ff 3f 00 00 2b c8 69 c9 96 00 00 00 8b c1 99 b9 ff 7f 00 00 f7 f9 89 45 b4 db 45 b4 8b 55 f8 d8 42 14 d9 5d ec 8b 45 f8 8b 48 18 89 4d f0 8d 55 e8 52 8b 4d f8 e8 a3 d6 ff ff 8b 45 f8 66 c7 40 42 00 00 e9 cb 00 00 00 8b 4d f8 8b 51 3c 83 e2 02 85 d2 0f 84 81 00 00 00
768786,0x4bbb12,0,0,0,0,1,e8 82 d7 ff ff 8b 4d f8 e8 c0 d7 ff ff 85 c0 74 52 8b 45 f8 8b 48 08 8b b1 44 0f 00 00 83 ee 01,ff 15 48 f3 52 00 0f af c6 99 81 e2 ff 7f 00 00 03 c2 c1 f8 0f 89 45 e0 83 7d e0 00 74 19 8b 55 e0 83 c2 01 89 55 e0 6a 00 8b 45 e0 50 8b 4d f8 e8 32 d7 ff ff eb 0c 6a 01 6a 00 8b 4d f8 e8 24 d7 ff ff eb 39 68 00 00 f0 41 8b 4d f8 e8 c4 d7 ff ff 85 c0 75 28 6a 00 6a 00 6a 00 6a 01 68 00
769063,0x4bbc27,0,0,0,0,1,0f 85 85 00 00 00 8b 45 f8 0f bf 48 44 85 c9 75 4f 8b 55 f8 8b 42 08 8b b0 44 0f 00 00 83 ee 01,ff 15 48 f3 52 00 0f af c6 99 81 e2 ff 7f 00 00 03 c2 c1 f8 0f 89 45 d4 83 7d d4 00 75 09 8b 4d f8 c6 41 40 01 eb 17 8b 55 d4 83 c2 01 89 55 d4 6a 00 8b 45 d4 50 8b 4d f8 e8 14 d6 ff ff eb 2b 83 7d fc 00 74 13 8b 4d f8 c6 41 40 01 6a 01 6a 00 8b 4d f8 e8 f9 d5 ff ff 8b 55 f8 66 8b 42 42
848710,0x4cf346,0,0,0,1,0,00 e8 61 cd f7 ff 83 c4 24 89 45 fc 6a 00 6a 00 8d 55 d0 52 8b 45 fc 50 e8 0c 1d f8 ff 83 c4 10,ff 15 48 f3 52 00 8b 4d 0c 0f be 51 11 0f af c2 99 b9 ff 7f 00 00 f7 f9 50 8b 55 fc 52 e8 e3 c1 f8 ff 83 c4 08 8b 45 0c 8b 4d f4 89 48 2c 8b 55 0c 8b 45 f0 89 42 30 8b 4d 0c 8b 55 d0 89 51 38 8b 45 0c 8b 4d d4 89 48 3c 8b 55 0c 8b 45 d8 89 42 40 8b 45 fc 8b e5 5d c2 08 00 55 8b ec 83 ec
848970,0x4cf44a,0,0,0,1,0,cc f7 ff 83 c4 24 89 45 fc 6a 00 6a 00 8b 55 08 83 c2 38 52 8b 45 fc 50 e8 08 1c f8 ff 83 c4 10,ff 15 48 f3 52 00 8b 4d 08 0f be 51 11 0f af c2 99 b9 ff 7f 00 00 f7 f9 50 8b 55 fc 52 e8 df c0 f8 ff 83 c4 08 8b 45 fc 8b e5 5d c2 04 00 55 8b ec 81 ec 98 01 00 00 56 89 8d 6c fe ff ff c7 45 fc 00 00 00 00 8b 8d 6c fe ff ff e8 31 ab ff ff 85 c0 0f 8e 37 1d 00 00 6a 01 8b 8d 6c fe ff ff
858802,0x4d1ab2,0,0,0,0,1,00 00 00 5d c3 55 8b ec d9 05 fc f4 52 00 d8 0d 58 04 53 00 d9 1d bc c8 82 00 5d c3 55 8b ec 51,ff 15 48 f3 52 00 89 45 fc db 45 fc d8 35 5c 04 53 00 8b e5 5d c3 55 8b ec 83 ec 48 56 57 8d 4d c0 e8 88 71 fd ff c7 45 bc 00 00 00 00 eb 09 8b 45 bc 83 c0 01 89 45 bc 83 7d bc 04 7d 32 c7 45 b8 00 00 00 00 eb 09 8b 4d b8 83 c1 01 89 4d b8 83 7d b8 04 7d 18 8b 55 b8 52 8b 45 bc 50 8d 4d
868553,0x4d40c9,0,0,0,0,1,00 00 00 eb 05 b8 02 00 00 00 8b e5 5d c3 55 8b ec 83 ec 0c 89 4d f8 8b 45 0c c7 00 01 00 00 00,ff 15 48 f3 52 00 8b 4d f8 99 f7 b9 b4 01 00 00 89 55 fc 8b 55 fc 69 d2 8c 00 00 00 8b 45 f8 8d 8c 10 f0 01 00 00 8b 55 10 89 0a 8b 45 10 8b 08 8b 51 6c 89 55 f4 83 7d f4 28 74 11 83 7d f4 7d 74 16 81 7d f4 d2 00 00 00 74 18 eb 1f 8b 45 08 c7 00 02 00 00 00 eb 14 8b 4d 08 c7 01 03 00 00
868954,0x4d425a,0,0,0,1,1,00 00 d8 1d 2c fb 52 00 df e0 f6 c4 40 75 07 33 c0 e9 aa 02 00 00 83 7d 14 00 0f 84 42 01 00 00,ff 15 48 f3 52 00 99 b9 03 00 00 00 f7 f9 89 55 f8 8b 55 f8 89 55 e8 83 7d e8 01 74 0b 83 7d e8 02 74 63 e9 13 01 00 00 8b 45 ec d9 80 6c 07 00 00 d8 1d 2c fb 52 00 df e0 f6 c4 01 74 07 33 c0 e9 5b 02 00 00 8b 4d 0c c7 01 02 00 00 00 8b 55 08 c7 02 01 00 00 00 8b 45 ec c7 80 68 07 00 00
869394,0x4d4412,1,0,1,1,0,55 ec d8 aa 6c 07 00 00 e8 0f 7a 05 00 99 b9 64 00 00 00 f7 f9 2b f0 89 75 f4 83 7d f4 01 75 3a,ff 15 48 f3 52 00 99 b9 0a 00 00 00 f7 f9 89 55 f0 8b 55 ec d9 82 6c 07 00 00 e8 dd 79 05 00 99 b9 64 00 00 00 f7 f9 8b 55 f0 03 d0 83 fa 08 7d 07 33 c0 e9 b0 00 00 00 eb 07 33 c0 e9 a7 00 00 00 8b 45 0c c7 00 01 00 00 00 c7 45 f8 00 00 00 00 8b 4d f8 69 c9 8c 00 00 00 8b 55 ec 8d 84 0a
869920,0x4d4620,0,0,0,1,1,00 00 d8 1d 2c fb 52 00 df e0 f6 c4 40 75 07 33 c0 e9 cb 03 00 00 83 7d 14 00 0f 84 53 01 00 00,ff 15 48 f3 52 00 99 b9 03 00 00 00 f7 f9 89 55 f8 8b 55 f8 89 55 e8 83 7d e8 01 74 0b 83 7d e8 02 74 63 e9 24 01 00 00 8b 45 ec d9 80 6c 07 00 00 d8 1d 2c fb 52 00 df e0 f6 c4 01 74 07 33 c0 e9 7c 03 00 00 8b 4d 0c c7 01 02 00 00 00 8b 55 08 c7 02 01 00 00 00 8b 45 ec c7 80 68 07 00 00
870129,0x4d46f1,0,0,0,1,1,55 ec d9 82 6c 07 00 00 d8 25 08 06 53 00 8b 45 ec d9 98 6c 07 00 00 8b 4d 0c c7 01 01 00 00 00,ff 15 48 f3 52 00 8b 55 ec 8b 8a b4 01 00 00 83 e9 01 99 f7 f9 89 55 f8 8b 55 f8 69 d2 8c 00 00 00 8b 45 ec 8d 8c 10 f0 01 00 00 8b 55 10 89 0a 8b 45 10 8b 08 8b 51 6c 89 55 e4 83 7d e4 28 74 11 83 7d e4 7d 74 16 81 7d e4 d2 00 00 00 74 18 eb 1f 8b 45 08 c7 00 02 00 00 00 eb 14 8b 4d 08
870377,0x4d47e9,1,0,1,1,0,55 ec d8 aa 6c 07 00 00 e8 38 76 05 00 99 b9 64 00 00 00 f7 f9 2b f0 89 75 f4 83 7d f4 01 75 3a,ff 15 48 f3 52 00 99 b9 0a 00 00 00 f7 f9 89 55 f0 8b 55 ec d9 82 6c 07 00 00 e8 06 76 05 00 99 b9 64 00 00 00 f7 f9 8b 55 f0 03 d0 83 fa 08 7d 07 33 c0 e9 c0 01 00 00 eb 07 33 c0 e9 b7 01 00 00 8b 45 ec 8b 40 68 99 2b c2 d1 f8 8b 4d ec 39 41 6c 7c 1a ff 15 48 f3 52 00 99 b9 0a 00 00 00
870461,0x4d483d,0,0,1,1,1,c0 01 00 00 eb 07 33 c0 e9 b7 01 00 00 8b 45 ec 8b 40 68 99 2b c2 d1 f8 8b 4d ec 39 41 6c 7c 1a,ff 15 48 f3 52 00 99 b9 0a 00 00 00 f7 f9 83 fa 07 7d 07 33 c0 e9 8a 01 00 00 8b 55 0c c7 02 01 00 00 00 ff 15 48 f3 52 00 8b 4d ec 8b 89 b4 01 00 00 83 e9 01 99 f7 f9 89 55 f8 8b 55 f8 69 d2 8c 00 00 00 8b 45 ec 8d 8c 10 f0 01 00 00 8b 55 10 89 0a 8b 45 10 8b 08 8b 51 6c 89 55 e0 83 7d
870496,0x4d4860,0,0,0,1,1,f3 52 00 99 b9 0a 00 00 00 f7 f9 83 fa 07 7d 07 33 c0 e9 8a 01 00 00 8b 55 0c c7 02 01 00 00 00,ff 15 48 f3 52 00 8b 4d ec 8b 89 b4 01 00 00 83 e9 01 99 f7 f9 89 55 f8 8b 55 f8 69 d2 8c 00 00 00 8b 45 ec 8d 8c 10 f0 01 00 00 8b 55 10 89 0a 8b 45 10 8b 08 8b 51 6c 89 55 e0 83 7d e0 28 74 11 83 7d e0 7d 74 16 81 7d e0 d2 00 00 00 74 18 eb 1f 8b 45 08 c7 00 02 00 00 00 eb 14 8b 4d 08
