file,offset,kind,value,context_hex
eagle0.sav,0x8,u8,1,02 00 00 00 e8 03 00 00 01 00 01 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
eagle0.sav,0xa,u8,1,02 00 00 00 e8 03 00 00 01 00 01 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
eagle0.sav,0x7dd,u8,1,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 04 00 00 00 f4 01 00 00 00 00 00 00 00 00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
eagle0.sav,0x7e8,u8,1,00 00 00 00 00 00 00 00 04 00 00 00 f4 01 00 00 00 00 00 00 00 00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
eagle0.sav,0x818,u8,1,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
eagle0.sav,0xfb5,u8,1,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 04 00 00 00 2c 01 00 00 00 00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
eagle0.sav,0xfbc,u8,1,00 00 00 00 00 00 00 00 00 00 00 00 04 00 00 00 2c 01 00 00 00 00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
eagle0.sav,0x1794,u8,1,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 04 00 00 00 01 00 00 00 04 00 00 00 f4 01 00 00 00 00 00 00 01 00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
eagle0.sav,0x179d,u8,1,00 00 00 00 00 00 00 00 00 00 00 04 00 00 00 01 00 00 00 04 00 00 00 f4 01 00 00 00 00 00 00 01 00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
eagle0.sav,0x17a4,u8,1,00 00 00 00 04 00 00 00 01 00 00 00 04 00 00 00 f4 01 00 00 00 00 00 00 01 00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
eagle0.sav,0x17a8,u8,1,04 00 00 00 01 00 00 00 04 00 00 00 f4 01 00 00 00 00 00 00 01 00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
eagle0.sav,0x1f74,u8,1,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2c 00 00 00 01 00 00 00 28 00 00 00 0f 00 00 00 14 00 00 00 17 00 00 00 28 00 00 00 03 00 00 00 a8 02 00 00 05 00 00 00 3c 00 00 00
eagle0.sav,0x1fa9,u8,1,02 00 00 05 00 00 00 3c 00 00 00 0f 00 00 00 23 00 00 00 20 03 00 00 ee 01 00 00 06 02 00 00 5a 02 00 00 8c 02 00 00 78 00 00 00 00 00 00 00 42 21 01 00 20 03 00 00 ee 01 00 00 14 00 00 00 fa
eagle0.sav,0x1fc2,u8,1,00 00 06 02 00 00 5a 02 00 00 8c 02 00 00 78 00 00 00 00 00 00 00 42 21 01 00 20 03 00 00 ee 01 00 00 14 00 00 00 fa 01 00 00 d2 00 00 00 eb 00 00 00 07 01 00 00 68 01 00 00 3c 00 00 00 00 00
eagle0.sav,0x1fc9,u8,1,02 00 00 8c 02 00 00 78 00 00 00 00 00 00 00 42 21 01 00 20 03 00 00 ee 01 00 00 14 00 00 00 fa 01 00 00 d2 00 00 00 eb 00 00 00 07 01 00 00 68 01 00 00 3c 00 00 00 00 00 00 00 28 46 00 00 fa
eagle0.sav,0x1fd1,u8,1,00 00 00 00 00 00 00 42 21 01 00 20 03 00 00 ee 01 00 00 14 00 00 00 fa 01 00 00 d2 00 00 00 eb 00 00 00 07 01 00 00 68 01 00 00 3c 00 00 00 00 00 00 00 28 46 00 00 fa 01 00 00 d2 00 00 00 14
eagle0.sav,0x1fdd,u8,1,03 00 00 ee 01 00 00 14 00 00 00 fa 01 00 00 d2 00 00 00 eb 00 00 00 07 01 00 00 68 01 00 00 3c 00 00 00 00 00 00 00 28 46 00 00 fa 01 00 00 d2 00 00 00 14 00 00 00 fa 01 00 00 d2 00 00 00 eb
eagle0.sav,0x1fe1,u8,1,01 00 00 14 00 00 00 fa 01 00 00 d2 00 00 00 eb 00 00 00 07 01 00 00 68 01 00 00 3c 00 00 00 00 00 00 00 28 46 00 00 fa 01 00 00 d2 00 00 00 14 00 00 00 fa 01 00 00 d2 00 00 00 eb 00 00 00 07
eagle0.sav,0x1ff1,u8,1,00 00 00 07 01 00 00 68 01 00 00 3c 00 00 00 00 00 00 00 28 46 00 00 fa 01 00 00 d2 00 00 00 14 00 00 00 fa 01 00 00 d2 00 00 00 eb 00 00 00 07 01 00 00 68 01 00 00 3c 00 00 00 00 00 00 00 28
eagle0.sav,0x1ffd,u8,1,00 00 00 00 00 00 00 28 46 00 00 fa 01 00 00 d2 00 00 00 14 00 00 00 fa 01 00 00 d2 00 00 00 eb 00 00 00 07 01 00 00 68 01 00 00 3c 00 00 00 00 00 00 00 28 46 00 00 fa 01 00 00 d2 00 00 00 19
eagle0.sav,0x2009,u8,1,01 00 00 d2 00 00 00 14 00 00 00 fa 01 00 00 d2 00 00 00 eb 00 00 00 07 01 00 00 68 01 00 00 3c 00 00 00 00 00 00 00 28 46 00 00 fa 01 00 00 d2 00 00 00 19 00 00 00 6a 02 00 00 3b 01 00 00 5b
eagle0.sav,0x200d,u8,1,00 00 00 14 00 00 00 fa 01 00 00 d2 00 00 00 eb 00 00 00 07 01 00 00 68 01 00 00 3c 00 00 00 00 00 00 00 28 46 00 00 fa 01 00 00 d2 00 00 00 19 00 00 00 6a 02 00 00 3b 01 00 00 5b 01 00 00 7b
eagle0.sav,0x201d,u8,1,00 00 00 07 01 00 00 68 01 00 00 3c 00 00 00 00 00 00 00 28 46 00 00 fa 01 00 00 d2 00 00 00 19 00 00 00 6a 02 00 00 3b 01 00 00 5b 01 00 00 7b 01 00 00 f4 01 00 00 50 00 00 00 00 00 00 00 5e
eagle0.sav,0x202d,u8,1,00 00 00 28 46 00 00 fa 01 00 00 d2 00 00 00 19 00 00 00 6a 02 00 00 3b 01 00 00 5b 01 00 00 7b 01 00 00 f4 01 00 00 50 00 00 00 00 00 00 00 5e 83 00 00 6a 02 00 00 3b 01 00 00 14 00 00 00 00
eagle0.sav,0x2031,u8,1,46 00 00 fa 01 00 00 d2 00 00 00 19 00 00 00 6a 02 00 00 3b 01 00 00 5b 01 00 00 7b 01 00 00 f4 01 00 00 50 00 00 00 00 00 00 00 5e 83 00 00 6a 02 00 00 3b 01 00 00 14 00 00 00 00 00 00 00 00
eagle0.sav,0x2035,u8,1,01 00 00 d2 00 00 00 19 00 00 00 6a 02 00 00 3b 01 00 00 5b 01 00 00 7b 01 00 00 f4 01 00 00 50 00 00 00 00 00 00 00 5e 83 00 00 6a 02 00 00 3b 01 00 00 14 00 00 00 00 00 00 00 00 00 00 00 10
