offset,file_count,small_count,unique_count,min,max,median,values
0,144,144,19,0,27,2.0,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 18 27
8,121,121,3,1,3,2,1 2 3
12,121,121,6,1,17,1,1 2 3 4 5 17
16,121,121,3,0,2,1,0 1 2
24,121,121,4,0,3,0,0 1 2 3
32,121,121,16,0,200,0,0 7 9 12 52 57 62 75 93 113 118 125 181 192 199 200
36,121,121,2,0,1,0,0 1
40,121,121,6,1,28,1,1 5 9 11 12 28
48,121,121,19,0,40,22,0 1 6 8 10 14 16 18 20 22 24 26 28 30 32 34 36 38 40
52,121,121,7,1,12,2,1 2 3 4 6 7 12
56,121,121,16,0,273,1,0 1 2 12 26 32 35 36 37 39 41 48 62 134 147 273
60,121,121,12,0,36,0,0 1 12 16 18 20 22 26 30 32 34 36
64,121,19,6,1,12,1,1 2 3 5 8 12
68,121,19,8,0,111,1,0 1 2 26 33 92 99 111
72,121,20,6,0,40,1.0,0 1 24 26 32 40
76,121,6,4,1,6,2.5,1 2 3 6
80,121,6,2,1,63,1.0,1 63
84,121,6,2,0,34,0.0,0 34
88,121,5,2,0,2,0,0 2
92,121,6,2,0,1,0.0,0 1
94,121,10,2,0,512,0.0,0 512
96,121,16,2,0,256,0.0,0 256
100,121,21,2,0,512,0,0 512
102,121,24,2,0,256,0.0,0 256
106,121,33,2,0,256,0,0 256
108,121,33,2,0,256,0,0 256
110,121,37,4,0,256,0,0 1 72 256
112,120,38,4,0,512,0.0,0 67 256 512
114,120,41,5,0,256,0,0 67 72 73 256
116,120,44,3,0,256,0.0,0 72 256
118,120,47,4,0,256,0,0 67 72 256
120,120,49,4,0,512,0,0 75 256 512
122,120,51,4,0,512,0,0 73 256 512
124,120,49,7,0,512,0,0 1 72 73 75 256 512
126,120,61,7,0,512,0,0 67 72 73 114 256 512
128,119,58,9,0,768,0.0,0 1 40 72 73 75 256 512 768
130,119,66,8,0,768,0.0,0 3 67 72 75 256 512 768
132,119,62,9,0,512,0.0,0 1 2 3 17 67 72 256 512
134,118,68,5,0,512,0.0,0 1 76 256 512
136,118,70,10,0,768,0.0,0 1 11 47 67 76 94 256 512 768
138,118,76,7,0,256,0.0,0 1 2 33 67 229 256
140,117,71,9,0,512,0,0 1 4 6 12 20 67 256 512
142,117,71,8,0,512,0,0 2 10 67 76 93 256 512
144,117,70,10,0,512,0.0,0 1 2 3 4 9 30 76 256 512
146,117,67,8,0,512,0,0 1 2 3 10 76 256 512
148,117,62,10,0,512,0.0,0 1 2 4 9 15 75 76 256 512
150,117,63,11,0,768,0,0 1 2 16 33 62 72 76 256 512 768
152,117,65,15,0,768,0,0 1 2 4 5 68 73 75 76 89 113 255 256 512 768
154,117,72,14,0,256,0.0,0 1 2 11 16 18 24 67 76 84 86 105 107 256
156,117,68,12,0,512,0.0,0 1 2 3 7 10 30 35 73 76 256 512
158,117,64,8,0,256,0.0,0 1 2 3 11 26 69 256
160,117,65,8,0,768,0,0 1 3 4 10 125 256 768
162,117,64,10,0,768,0.0,0 1 4 11 62 67 107 127 256 768
164,117,56,7,0,256,0.0,0 1 2 11 76 94 256
166,117,65,15,0,512,0,0 1 2 4 19 54 55 58 64 76 82 125 256 274 512
168,117,60,11,0,768,0.0,0 1 2 9 12 34 67 73 78 256 768
170,117,61,11,0,256,0,0 1 2 5 6 20 30 31 38 125 256
172,117,66,12,0,768,0.0,0 1 3 4 19 30 60 67 84 256 512 768
174,117,64,11,0,512,0.0,0 1 2 3 11 18 67 125 213 256 512
176,117,61,11,0,256,0,0 1 2 3 5 19 22 53 76 89 256
178,117,64,11,0,768,0.0,0 1 2 6 16 61 63 67 99 256 768
180,117,62,8,0,256,0.0,0 1 2 3 5 22 28 256
182,117,64,12,0,768,0.0,0 1 2 3 6 8 32 72 75 125 256 768
184,117,64,13,0,512,0.0,0 1 2 3 5 12 17 22 67 73 125 256 512
186,117,61,9,0,256,0,0 1 2 8 30 66 76 103 256
188,117,65,13,0,768,0,0 1 11 21 22 63 66 72 76 125 256 512 768
190,116,66,11,0,512,0.0,0 1 2 4 21 24 28 75 76 256 512
192,116,61,11,0,512,0,0 1 6 14 37 47 68 75 125 256 512
194,116,69,10,0,256,0,0 1 2 3 5 8 19 72 94 256
196,115,65,14,0,512,0,0 1 2 3 9 14 24 26 28 72 105 216 256 512
